2L 3 1/2 x 3 x 1/4,3,3.5,0.25,0.625,10.8,3.16,2.61,1.17,0.908,0.773,1.5,1.63,1.78,1.87,0.88
2L 3 1/2 x 2 1/2 x 1/2,2.5,3.5,0.5,0.875,18.8,5.53,2.72,1.51,0.701,0.701,1.62,1.76,1.91,1.82,0.938
2L 3 1/2 x 2 1/2 x 3/8,2.5,3.5,0.375,0.75,14.5,4.25,2.17,1.18,0.716,0.655,1.59,1.73,1.88,1.81,0.933
2L 3 1/2 x 2 1/2 x 5/16,2.5,3.5,0.3125,0.6875,12.2,3.58,1.87,1,0.723,0.632,1.58,1.72,1.87,1.8,0.93
2L 3 1/2 x 2 1/2 x 1/4,2.5,3.5,0.25,0.625,9.88,2.9,1.55,0.819,0.731,0.607,1.57,1.7,1.85,1.8,0.928
2L 3 x 2 1/2 x 1/2,2.5,3,0.5,0.875,17.1,5.01,2.58,1.47,0.718,0.746,1.35,1.49,1.64,1.61,0.905
2L 3 x 2 1/2 x 7/16,2.5,3,0.4375,0.8125,15.1,4.44,2.33,1.31,0.724,0.724,1.34,1.48,1.63,1.6,0.901
2L 3 x 2 1/2 x 3/8,2.5,3,0.375,0.75,13.1,3.86,2.06,1.15,0.731,0.701,1.32,1.46,1.61,1.6,0.897
2L 3 x 2 1/2 x 5/16,2.5,3,0.3125,0.6875,11.1,3.25,1.78,0.974,0.739,0.677,1.31,1.45,1.6,1.59,0.893
2L 3 x 2 1/2 x 1/4,2.5,3,0.25,0.625,8.97,2.64,1.47,0.794,0.746,0.653,1.3,1.44,1.58,1.59,0.89
2L 3 x 2 1/2 x 3/16,2.5,3,0.1875,0.5625,6.82,2,1.14,0.606,0.753,0.627,1.29,1.42,1.57,1.58,0.887
