2L 203 x 152 x 14,152.4,203.2,14.29,26.99,77.09,98.06,2006.24,175.34,4.52,3.78,9.02,9.37,9.73,10.54,0.92
2L 152 x 203 x 13,152.4,203.2,12.7,25.4,68.9,87.74,1810.61,156.99,4.55,3.71,8.99,9.35,9.68,10.54,0.92
2L 203 x 152 x 11,152.4,203.2,11.11,23.81,60.57,77.42,1606.65,138.63,4.57,3.66,8.97,9.3,9.65,10.54,0.91
2L 203 x 102 x 25,101.6,203.2,25.4,38.1,111.91,142.58,969.82,128.97,2.62,2.64,10.01,10.36,10.74,10.44,0.98
2L 203 x 102 x 22,101.6,203.2,22.23,34.93,99.11,126.45,878.25,115.04,2.64,2.53,9.93,10.31,10.69,10.39,0.98
2L 203 x 102 x 19,101.6,203.2,19.05,31.75,86.02,109.68,778.35,100.62,2.67,2.41,9.88,10.24,10.62,10.34,0.98
2L 203 x 102 x 16,101.6,203.2,15.88,28.58,72.47,92.26,674.29,85.7,2.69,2.29,9.8,10.16,10.54,10.29,0.98
2L 203 x 102 x 14,101.6,203.2,14.29,26.99,65.63,83.87,620.18,78.17,2.72,2.23,9.78,10.13,10.49,10.26,0.98
2L 203 x 102 x 13,101.6,203.2,12.7,25.4,58.78,74.84,561.91,70.3,2.74,2.17,9.73,10.08,10.46,10.24,0.98
2L 203 x 102 x 11,101.6,203.2,11.11,23.81,51.79,65.81,503.64,62.43,2.77,2.11,9.7,10.06,10.41,10.21,0.98
2L 178 x 102 x 19,101.6,177.8,19.05,31.75,77.98,99.35,749.22,98.49,2.74,2.54,8.48,8.84,9.22,9.07,0.97
2L 178 x 102 x 16,101.6,177.8,15.88,28.58,65.78,83.87,649.32,83.9,2.79,2.43,8.41,8.79,9.14,9.02,0.97
2L 178 x 102 x 13,101.6,177.8,12.7,25.4,53.28,67.74,541.1,68.83,2.82,2.31,8.36,8.71,9.07,8.97,0.97
2L 178 x 102 x 11,101.6,177.8,11.11,23.81,46.88,59.81,482.83,60.96,2.84,2.25,8.33,8.69,9.04,8.97,0.96
2L 178 x 102 x 10,101.6,177.8,9.53,22.23,40.48,51.61,420.39,52.77,2.84,2.19,8.28,8.64,8.99,8.94,0.96
2L 152 x 102 x 22,101.6,152.4,22.23,34.93,80.81,103.23,807.49,110.45,2.79,2.84,7.16,7.52,7.9,7.87,0.95
2L 152 x 102 x 19,101.6,152.4,19.05,31.75,70.24,89.68,720.08,96.68,2.84,2.72,7.11,7.47,7.82,7.85,0.95
2L 152 x 102 x 16,101.6,152.4,15.88,28.58,59.38,75.48,624.35,82.43,2.87,2.62,7.04,7.39,7.77,7.82,0.95
2L 152 x 102 x 14,101.6,152.4,14.29,26.99,53.72,68.39,570.24,75.05,2.9,2.54,7.01,7.37,7.72,7.8,0.95
2L 152 x 102 x 13,101.6,152.4,12.7,25.4,48.07,61.29,516.13,67.51,2.9,2.49,6.99,7.34,7.7,7.8,0.94
2L 152 x 102 x 11,101.6,152.4,11.11,23.81,42.41,53.94,462.02,59.81,2.92,2.43,6.96,7.32,7.67,7.77,0.94
2L 152 x 102 x 10,101.6,152.4,9.53,22.23,36.61,46.58,404.58,51.95,2.95,2.37,6.93,7.26,7.62,7.77,0.94
2L 152 x 102 x 8,101.6,152.4,7.94,20.64,30.66,39.03,343.81,43.75,2.97,2.31,6.91,7.24,7.59,7.75,0.94
2L 152 x 89 x 13,88.9,152.4,12.7,25.4,45.69,58.32,352.55,51.95,2.46,2.11,7.16,7.52,7.9,7.72,0.96
2L 152 x 89 x 10,88.9,152.4,9.53,22.23,34.82,44.39,276.79,40.15,2.5,1.98,7.11,7.47,7.82,7.67,0.96
