IR 780 x 284.2,363.22508,780,18.0,381,30.2,673,50,30,284.2,139.7,101,0.677,382933,9832,32.5,28012,1467,8.8,11061,2261,874,39206237,716,20562,2048,5473
IR 772 x 257.5,329.0316,772,16.6,381,27.2,673,47,29,257.5,139.7,100,0.752,342558,8865,32.3,24891,1308,8.7,9947,2016,649,34641127,710,18273,1835,4916
IR 780 x 220.2,280.6446,780,16.5,267,30.0,673,46,29,220.2,139.7,69,0.976,278043,7145,31.5,9448,710,5.8,8194,1114,604,13265672,499,9948,1401,4048
IR 770 x 196.4,250.96724,770,15.6,267,25.4,673,42,29,196.4,139.7,68,1.130,240166,6227,31.0,8158,610,5.7,7161,957,405,11305360,499,8491,1193,3540
IR 767 x 184.5,235.4834,767,14.9,267,23.6,673,40,29,184.5,139.7,68,1.217,223100,5817,30.7,7534,564,5.7,6686,885,333,10392338,496,7825,1106,3310
IR 762 x 172.6,220.64472,762,14.4,267,21.6,673,38,29,172.6,139.7,67,1.323,205202,5391,30.5,6826,513,5.6,6194,806,268,9371902,494,7118,1008,3064
IR 757 x 160.7,204.51572,757,13.8,267,19.3,673,36,29,160.7,139.7,66,1.476,186055,4900,30.2,6077,457,5.5,5670,719,208,8270905,491,6327,898,2786
IR 754 x 147.3,187.74156,754,13.2,267,17.0,673,34,27,147.3,139.7,65,1.665,166076,4408,29.7,5328,401,5.3,5113,633,157,7223615,488,5536,790,2524
IR 749 x 133.9,170.32224,749,11.9,264,15.5,673,32,27,133.9,139.7,65,1.831,150260,4015,29.7,4787,362,5.3,4638,569,118,6444861,485,4953,718,2278
IR 826 x 802.1,1025.8044,826,50.0,389,89.9,600,110,46,802.1,139.7,104,0.236,1065552,25728,32.3,87825,4539,9.3,30972,7161,20645,118961389,716,62018,5588,15437
IR 812 x 735.2,935.482,812,46.0,383,83.1,610,102,40,735.2,139.7,103,0.256,953170,23597,32.0,78668,4097,9.2,28022,6457,16275,103654845,697,55775,5129,14027
IR 798 x 666.7,845.1596,798,41.9,379,75.9,610,94,38,666.7,139.7,102,0.276,849112,21303,31.8,69511,3671,9.1,25072,5752,12362,90228051,684,49532,4638,12553
IR 784 x 605.7,767.7404,784,38.6,376,69.1,610,87,37,605.7,139.7,101,0.303,753379,19173,31.2,61602,3277,8.9,22614,5129,9365,78143937,671,43704,4179,11274
IR 772 x 547.6,696.7728,772,35.1,373,63.0,600,83,38,547.6,139.7,100,0.331,674295,17370,31.0,54526,2933,8.8,20320,4572,7076,68476646,658,38710,3769,10144
IR 762 x 500,638.06324,762,32.0,371,57.9,600,78,37,500.0,139.7,99,0.354,607698,15928,30.7,49115,2655,8.8,18517,4130,5453,60957642,652,34797,3441,9210
IR 752 x 456.9,583.22464,752,29.5,366,53.1,600,73,37,456.9,139.7,98,0.386,545263,14535,30.5,43704,2393,8.7,16879,3720,4204,53438638,641,31217,3130,8341
IR 744 x 418.2,534.83764,744,26.9,366,49.0,600,69,35,418.2,139.7,98,0.417,495315,13339,30.5,39667,2179,8.6,15338,3376,3309,47799384,634,28304,2868,7620
IR 737 x 383.9,490.3216,737,24.9,363,45.0,600,65,33,383.9,139.7,97,0.453,449530,12208,30.2,35754,1966,8.5,13962,3064,2564,42697203,626,25515,2622,6932
IR 729 x 349.7,447.74104,729,23.1,361,40.9,600,61,33,349.7,139.7,96,0.492,403744,11094,30.0,32008,1770,8.5,12651,2753,1956,37863557,619,22809,2376,6276
IR 721 x 322.9,412.9024,721,21.1,358,38.1,600,58,32,322.9,139.7,96,0.528,370862,10275,30.0,29303,1635,8.4,11651,2524,1565,34372591,613,20936,2196,5768
IR 714 x 288.7,369.03152,714,19.1,356,34.0,600,54,30,288.7,139.7,95,0.587,327158,9160,29.7,25765,1444,8.4,10340,2229,1128,29807481,606,18397,1950,5113
