W 27 x 194,57.2,28.1,0.75,14,1.34,23/05/2008,2.13,1.1875,194,05/01/2002,3.74,1.49,7860,559,11.7,619,88.1,3.29,631,136,27.1,111000,93.9,442,119,312
W 27 x 178,52.5,27.8,0.725,14.1,1.19,23/05/2008,1.98,1.1875,178,05/01/2002,3.72,1.66,7020,505,11.6,555,78.8,3.25,570,122,20.1,98300,93.7,393,106,282
W 27 x 161,47.6,27.6,0.66,14,1.08,23/05/2008,1.87,1.1875,161,05/01/2002,3.7,1.82,6310,458,11.5,497,70.9,3.23,515,109,15.1,87300,92.9,352,95.6,254
W 27 x 146,43.1,27.4,0.605,14,0.975,23/05/2008,1.76,1.125,146,05/01/2002,3.68,2.01,5660,414,11.5,443,63.5,3.2,464,97.7,11.3,77200,92.2,314,86,229
W 27 x 129,37.8,27.6,0.61,10,1.1,23/05/2008,1.7,1.125,129,05/01/2002,2.59,2.51,4760,345,11.2,184,36.8,2.21,395,57.6,11.1,32400,66.4,183,68.6,195
W 27 x 114,33.5,27.3,0.57,10.1,0.93,23/05/2008,1.53,1.125,114,05/01/2002,2.58,2.91,4080,299,11,159,31.5,2.18,343,49.3,7.33,27600,66.4,155,58.2,170
W 27 x 102,30,27.1,0.515,10,0.83,23/05/2008,1.43,1.0625,102,05/01/2002,2.56,3.26,3620,267,11,139,27.8,2.15,305,43.4,5.28,24000,65.7,137,51.8,151
W 27 x 94,27.7,26.9,0.49,9.99,0.745,23/05/2008,1.34,1.0625,94,05/01/2002,2.53,3.62,3270,243,10.9,124,24.8,2.12,278,38.8,4.03,21200,65.4,122,46.3,137
W 27 x 84,24.8,26.7,0.46,9.96,0.64,23/05/2008,1.24,1.0625,84,05/01/2002,2.49,4.19,2850,213,10.7,106,21.2,2.07,244,33.2,2.81,18000,64.9,103,39.6,120
W 24 x 492,144,29.65,1.97,14.115,3.54,21,4.3125,1.5625,492,05/01/2002,3.8,0.59,19100,1290,11.5,1670,237,3.41,1550,375,456,283000,92.1,1150,281,774
W 24 x 450,132,29.09,1.81,13.955,3.27,21,4.0625,1.5,450,05/01/2002,3.76,0.64,17100,1170,11.4,1490,214,3.36,1410,337,357,247000,90.1,1030,257,703
W 24 x 408,119,28.54,1.65,13.8,2.99,21,3.75,1.375,408,05/01/2002,3.71,0.69,15100,1060,11.3,1320,191,3.33,1250,300,271,214000,88.1,909,233,626
W 24 x 370,109,28,1.52,13.7,2.72,20/03/2004,3.22,1.5625,370,05/01/2002,3.67,0.75,13400,957,11.1,1160,170,3.27,1130,267,201,185000,86.3,802,209,566
W 24 x 335,98.4,27.5,1.38,13.5,2.48,20/03/2004,2.98,1.5,335,05/01/2002,3.63,0.82,11900,864,11,1030,152,3.23,1020,238,152,161000,84.6,709,188,508
W 24 x 306,89.8,27.1,1.26,13.4,2.28,20/03/2004,2.78,1.4375,306,05/01/2002,3.6,0.89,10700,789,10.9,919,137,3.2,922,214,117,142000,83.3,636,172,460
W 24 x 279,82,26.7,1.16,13.3,2.09,20/03/2004,2.59,1.4375,279,05/01/2002,3.57,0.96,9600,718,10.8,823,124,3.17,835,193,90.5,125000,82,570,156,416
W 24 x 250,73.5,26.3,1.04,13.2,1.89,20/03/2004,2.39,1.375,250,05/01/2002,3.53,1.06,8490,644,10.7,724,110,3.14,744,171,66.6,108000,80.6,502,140,371
W 24 x 229,67.2,26,0.96,13.1,1.73,20/03/2004,2.23,1.3125,229,05/01/2002,3.51,1.15,7650,588,10.7,651,99.4,3.11,675,154,51.3,96000,79.6,451,128,337
W 24 x 207,60.7,25.7,0.87,13,1.57,20/03/2004,2.07,1.25,207,05/01/2002,3.48,1.26,6820,531,10.6,578,88.8,3.08,606,137,38.3,84200,78.5,401,115,302
W 24 x 192,56.3,25.5,0.81,13,1.46,20/03/2004,1.96,1.25,192,05/01/2002,3.46,1.35,6260,491,10.5,530,81.8,3.07,559,126,30.8,76400,77.7,367,106,278
W 24 x 176,51.7,25.2,0.75,12.9,1.34,20/03/2004,1.84,1.1875,176,05/01/2002,3.44,1.46,5680,450,10.5,479,74.3,3.04,511,115,23.9,68400,77,333,97.2,254
W 24 x 162,47.7,25,0.705,13,1.22,20/03/2004,1.72,1.1875,162,05/01/2002,3.45,1.58,5170,414,10.4,443,68.4,3.05,468,105,18.5,62600,77,304,88.8,233
W 24 x 146,43,24.7,0.65,12.9,1.09,20/03/2004,1.59,1.125,146,05/01/2002,3.43,1.76,4580,371,10.3,391,60.5,3.01,418,93.2,13.4,54700,76.3,268,78.9,208
W 24 x 131,38.5,24.5,0.605,12.9,0.96,20/03/2004,1.46,1.125,131,05/01/2002,3.4,1.98,4020,329,10.2,340,53,2.97,370,81.5,9.5,47000,75.6,233,69.1,184
W 24 x 117,34.4,24.3,0.55,12.8,0.85,20/03/2004,1.35,1.125,117,05/01/2002,3.37,2.23,3540,291,10.1,297,46.5,2.94,327,71.4,6.72,40700,74.9,204,60.9,162
