WT 13.5 x 51,15,13.5,0.515,10,0.83,1.43,51,258,25.3,4.14,3.37,69.6,13.9,2.15,2.63,12.6,5.53,0.714
WT 13.5 x 47,13.8,13.5,0.49,9.99,0.745,1.34,47,239,23.8,4.16,3.41,62,12.4,2.12,2.01,10.2,5.57,0.703
WT 13.5 x 42,12.4,13.4,0.46,9.96,0.64,1.24,42,216,21.9,4.18,3.48,52.8,10.6,2.07,1.4,7.79,5.63,0.685
WT 12 x 185,54.4,14,1.52,13.7,2.72,3.22,185,779,74.7,3.78,3.57,581,85.1,3.27,100,553,5.47,0.837
WT 12 x 246,72,14.825,1.97,14.115,3.54,4.3125,246,1130,105,3.96,4.07,837,119,3.41,223,1340,5.71,0.838
WT 12 x 204,59.5,14.27,1.65,13.8,2.99,3.75,204,874,83.1,3.83,3.74,659,95.5,3.33,133,748,5.55,0.836
WT 12 x 167.5,49.2,13.8,1.38,13.5,2.48,2.98,167.5,686,66.3,3.73,3.42,513,75.9,3.23,75.6,405,5.4,0.837
WT 12 x 153,44.9,13.6,1.26,13.4,2.28,2.78,153,611,59.4,3.69,3.29,460,68.6,3.2,58.4,305,5.34,0.838
WT 12 x 139.5,41,13.4,1.16,13.3,2.09,2.59,139.5,546,53.6,3.65,3.18,412,61.9,3.17,45.1,230,5.28,0.836
WT 12 x 125,36.8,13.2,1.04,13.2,1.89,2.39,125,478,47.2,3.61,3.05,362,54.9,3.14,33.2,165,5.22,0.837
WT 12 x 114.5,33.6,13,0.96,13.1,1.73,2.23,114.5,431,42.9,3.58,2.96,326,49.7,3.11,25.5,125,5.19,0.837
WT 12 x 103.5,30.4,12.9,0.87,13,1.57,2.07,103.5,382,38.3,3.55,2.87,289,44.4,3.08,19.1,91.3,5.14,0.835
WT 12 x 96,28.1,12.7,0.81,13,1.46,1.96,96,350,35.2,3.53,2.8,265,40.9,3.07,15.3,72.5,5.12,0.837
WT 12 x 88,25.8,12.6,0.75,12.9,1.34,1.84,88,319,32.2,3.51,2.74,240,37.2,3.04,11.9,55.8,5.09,0.835
WT 12 x 81,23.9,12.5,0.705,13,1.22,1.72,81,293,29.9,3.5,2.7,221,34.2,3.05,9.22,43.8,5.09,0.831
WT 12 x 73,21.5,12.4,0.65,12.9,1.09,1.59,73,264,27.2,3.5,2.66,195,30.3,3.01,6.7,31.9,5.08,0.827
WT 12 x 65.5,19.3,12.2,0.605,12.9,0.96,1.46,65.5,238,24.8,3.52,2.65,170,26.5,2.97,4.74,23.1,5.08,0.818
WT 12 x 58.5,17.2,12.1,0.55,12.8,0.85,1.35,58.5,212,22.3,3.51,2.62,149,23.2,2.94,3.35,16.4,5.08,0.813
WT 12 x 52,15.3,12,0.5,12.8,0.75,1.25,52,189,20,3.51,2.59,130,20.3,2.91,2.35,11.6,5.08,0.81
WT 12 x 51.5,15.1,12.3,0.55,9,0.98,1.48,51.5,204,22,3.67,3.01,59.7,13.3,1.99,3.53,12.3,4.88,0.733
WT 12 x 47,13.8,12.2,0.515,9.07,0.875,1.38,47,186,20.3,3.67,2.99,54.5,12,1.98,2.62,9.57,4.89,0.728
WT 12 x 42,12.4,12.1,0.47,9.02,0.77,1.27,42,166,18.3,3.67,2.97,47.2,10.5,1.95,1.84,6.9,4.89,0.721
WT 12 x 38,11.2,12,0.44,8.99,0.68,1.18,38,151,16.9,3.68,3,41.3,9.18,1.92,1.34,5.3,4.92,0.708
WT 12 x 34,10,11.9,0.415,8.97,0.585,1.09,34,137,15.6,3.7,3.06,35.2,7.85,1.87,0.932,4.08,4.99,0.692
WT 12 x 31,9.16,11.9,0.43,7.04,0.59,1.19,31,132,15.6,3.79,3.45,17.2,4.9,1.37,0.883,3.92,5.12,0.62
WT 12 x 27.5,8.15,11.8,0.395,7.01,0.505,1.11,27.5,117,14.1,3.79,3.48,14.5,4.15,1.34,0.615,2.93,5.15,0.607
WT 10.5 x 100.5,29.6,11.5,0.91,12.6,1.63,2.13,100.5,285,31.9,3.1,2.57,271,43.1,3.02,20.4,85.4,4.68,0.859
WT 10.5 x 91,26.8,11.4,0.83,12.5,1.48,1.98,91,253,28.5,3.07,2.48,241,38.6,3,15.3,63,4.63,0.859
WT 10.5 x 83,24.4,11.2,0.75,12.4,1.36,1.86,83,226,25.5,3.04,2.39,217,35,2.99,11.8,47.3,4.59,0.861
WT 10.5 x 73.5,21.6,11,0.72,12.5,1.15,1.65,73.5,204,23.7,3.08,2.39,188,30,2.95,7.69,32.5,4.63,0.846
WT 10.5 x 66,19.4,10.9,0.65,12.4,1.03,1.54,66,181,21.1,3.06,2.33,166,26.7,2.93,5.62,23.4,4.6,0.844
WT 10.5 x 61,17.9,10.8,0.6,12.4,0.96,1.46,61,166,19.3,3.04,2.28,152,24.6,2.91,4.47,18.4,4.58,0.846
WT 10.5 x 55.5,16.3,10.8,0.55,12.3,0.875,1.38,55.5,150,17.5,3.03,2.23,137,22.2,2.9,3.4,13.8,4.56,0.845
WT 10.5 x 50.5,14.9,10.7,0.5,12.3,0.8,1.3,50.5,135,15.8,3.01,2.18,124,20.2,2.89,2.6,10.4,4.53,0.846
WT 10.5 x 46.5,13.7,10.8,0.58,8.42,0.93,1.43,46.5,144,17.9,3.25,2.74,46.4,11,1.84,3.01,9.33,4.37,0.729
WT 10.5 x 41.5,12.2,10.7,0.515,8.36,0.835,1.34,41.5,127,15.7,3.22,2.66,40.7,9.74,1.83,2.16,6.5,4.33,0.732
WT 10.5 x 36.5,10.7,10.6,0.455,8.3,0.74,1.24,36.5,110,13.8,3.21,2.6,35.3,8.51,1.81,1.51,4.42,4.31,0.732
WT 10.5 x 34,10,10.6,0.43,8.27,0.685,1.19,34,103,12.9,3.2,2.59,32.4,7.83,1.8,1.22,3.62,4.31,0.728
WT 10.5 x 31,9.13,10.5,0.4,8.24,0.615,1.12,31,93.8,11.9,3.21,2.58,28.7,6.97,1.77,0.913,2.78,4.31,0.722
WT 10.5 x 28.5,8.37,10.5,0.405,6.56,0.65,1.15,28.5,90.4,11.8,3.29,2.85,15.3,4.67,1.35,0.884,2.5,4.36,0.665
WT 10.5 x 27.5,8.1,10.4,0.375,8.22,0.522,1.02,27.5,84.4,10.9,3.23,2.64,24.2,5.89,1.73,0.617,2.08,4.37,0.704
