TR 114 x 49.9,63,114,14,210,24,34,50,454,50,3,2,1844,175,5,104,956,6,1
TR 111 x 43.2,55,111,13,209,21,30,43,380,43,3,2,1561,150,5,69,612,6,1
TR 108 x 35.7,45,108,10,206,17,27,36,285,32,3,2,1270,123,5,41,349,6,1
TR 105 x 29.8,38,105,9,205,14,24,30,239,28,3,2,1020,100,5,23,192,6,1
TR 103 x 26,33,103,8,204,13,23,26,201,23,2,2,887,87,5,16,129,6,1
TR 102 x 23.1,29,102,7,203,11,21,23,178,21,2,2,770,76,5,11,88,6,1
TR 102 x 20.8,27,102,7,166,12,22,21,176,21,3,2,450,54,4,11,62,5,1
TR 101 x 17.9,23,101,6,165,10,20,18,147,18,3,2,380,46,4,7,39,5,1
TR 105 x 15.6,20,105,6,134,10,18,16,162,19,3,2,203,30,3,6,25,5,1
TR 103 x 13.4,17,103,6,133,8,16,13,142,17,3,2,166,25,3,4,15,5,1
TR 103 x 11.2,14,103,6,102,8,16,11,137,18,3,3,71,14,2,3,10,4,1
TR 102 x 9.7,12,102,6,102,6,14,10,120,16,3,3,57,11,2,2,7,4,1
TR 100 x 7.4,10,100,4,100,5,13,7,89,12,3,2,44,9,2,1,3,4,1
TR 81 x 18.6,24,81,8,154,12,19,19,95,15,2,2,355,46,4,10,46,4,1
TR 79 x 14.9,19,79,7,153,9,17,15,73,11,2,1,276,36,4,5,23,4,1
TR 80 x 11.9,15,80,7,102,10,17,12,70,11,2,2,92,18,2,5,11,3,1
TR 76 x 11.2,14,76,6,152,7,14,11,59,9,2,1,194,26,4,2,9,4,1
TR 77 x 8.9,11,77,6,102,7,13,9,55,9,2,2,62,12,2,2,5,3,1
TR 75 x 6.7,9,75,4,100,5,12,7,40,7,2,2,46,9,2,1,2,3,1
TR 74 x 6.3,8,74,4,100,5,11,6,38,7,2,2,41,8,2,1,2,3,1
TR 66 x 14.1,18,66,7,128,11,19,14,42,8,2,1,190,30,3,7,21,4,1
TR 64 x 11.9,15,64,6,127,9,17,12,35,7,2,1,156,25,3,4,12,4,1
